feature,coefficient,odds_ratio,direction
INST_TO_INCOME,-6.364610219931744e-08,0.9999999363538998,Lower default risk
CNT_CHILDREN,-2.2781479272270227e-07,0.9999997721852333,Lower default risk
AMT_CREDIT,-4.705224191249749e-07,0.9999995294776916,Lower default risk
LTV_PROXY,-4.999440595075129e-07,0.9999995000560654,Lower default risk
DTI,-1.2928074409220996e-06,0.9999987071933948,Lower default risk
EMPLOYMENT_YEARS,-4.933944820387554e-06,0.9999950660673514,Lower default risk
AMT_INCOME_TOTAL,-7.20809080055619e-06,0.9999927919351776,Lower default risk
AGE,-2.138601410030918e-05,0.9999786142145789,Lower default risk
AMT_ANNUITY,-2.9806856447233373e-05,0.9999701935877727,Lower default risk
