band,expected_count,actual_count,expected_dist,actual_dist,psi_component,psi_total
A,17256.0,7492.0,0.08016464040658376,0.0812105708153576,1.3558287305723484e-05,2.264650296032674e-05
B,17796.0,7611.0,0.08267326962653944,0.08250048778372754,3.614808618824099e-07,2.264650296032674e-05
C,27437.0,11696.0,0.12746159242208152,0.12678041060550221,3.650142557148355e-06,2.264650296032674e-05
D,30113.0,12833.0,0.13989324388986188,0.1391050794545494,4.453107976838587e-06,2.264650296032674e-05
E,122655.0,52622.0,0.5698072536549335,0.5704034513408632,6.234842587339051e-07,2.264650296032674e-05
